식당ID,작성자,작성일,리뷰내용
1218830542,Nk8,6.10.수,너무 맛있고 고기랑 음식이 빨리 나와요 최고에요
1218830542,석방맘,6.9.화,강아지랑 같이 갈수있어요 직원들도 착하구 고기도 마싯어요 !!! ㅎㅎ
1218830542,두빵잉,6.9.화,"친구들하고 맛있게 먹었어요ㅎㅎ
가성비도 좋은듯"
1218830542,임댕혁,6.9.화,구워져서 나와서 기름냄새도 안나고 맛있게 구워줍니다 아주맛나요
1218830542,dug****,6.9.화,굳굳굳굳굳
1218830542,얌이얌잉,6.9.화,"돼봉삼겹살 방문했는데 정말 만족스러웠어요!

고기가 다 구워져서 나와 직접 구울 필요가 없고, 옷에 고기 냄새 밸 걱정 없이 편하게 식사할 수 있어서 좋았습니다.

특히 껍데기가 쫀득쫀득하고 고소해서 정말 맛있었고, 500잔에 소맥까지 즐길 수 있어서 가성비도 최고였어요.

맛, 편의성, 분위기까지 모두 만족스러운 곳이라 다음에도 재방문할 예정입니다!"
1218830542,ㅋS,6.8.월,너무 맛있게 잘 먹었습니다^^
1218830542,박땡깡이0,6.8.월,
1218830542,아이n,6.8.월,"여러명이서 고기 먹기 좋고 빠르게 들어갈 수 있습니다! 
역 근처에 있어서 접근성도 좋아요!"
1218830542,룰루랄라끼얗,6.8.월,"고기가 너무 맛있고, 매장이 깨끗해서 좋아요! 다섯명이서 왔는데 자리가 널널하고 모임으로 아주 좋습니다!👍"
1218830542,wjdtjd7531,6.8.월,맛있다고 추천받아서 왔는데 역시나 맛있습니다 ㅎㅎ 고기 질도 좋고 단체석도 많아서 모임하기 좋습니다- 추천해요!!👍
1218830542,몰랑이 쿠키,6.8.월,"우와 너무 맛있어요!! 고기 익혀져서 나와서 너무 좋아요 양도 푸짐하구 다양해요~!
또 올 거예요ㅎㅎ"
1218830542,der****,6.8.월,고기 잡내없이 너무 맛있고 양도 많아요! 직원분들이 친절하셔서 나갈때도 기분좋게 나갔어요~ 다음에 또 올게요!
1218830542,dydydy010,6.7.일,맛있어용
1218830542,lantius,6.7.일,맛있어요 맛있게 잘 먹었습니다!!
1218830542,sonny,6.7.일,둘이서 한판 세트 시켰는데 양도 많고 맛있었어요!! 사이드도 맛있음👍🏻👍🏻
1218830542,징융잉,6.7.일,"고기 질이 너무 좋고, 맛있어요!!! 🤍🤍"
1218830542,아름6780,6.7.일,"베스트 세트로 시켯는데 왜 베스트인지 알겠어요!
내용도 알차고 구성도 너무 좋아요
너무너무 맛있어요. 다음에 또 방문할게여 🫶🏻"
1218830542,juejehun,6.6.토,넘 맛있었어용
1218830542,oh0****,6.6.토,맛있어요!! 다음에 또 오고 싶어요~!
